Category,Question,Option A,Option B,Option C,Option D,Answer
Verbal Reasoning,Which word is the antonym of 'expensive'?,Cheap,Wealthy,Heavy,Affordable,D
Verbal Reasoning,What does the word 'omniscient' mean?,All-knowing,All-seeing,All-powerful,All-hearing,A
Verbal Reasoning,Choose the word that is opposite in meaning to 'abundant'.,Sufficient,Scarce,Large,Copious,B
Verbal Reasoning,Which word is the antonym of 'expensive'?,Cheap,Wealthy,Heavy,Affordable,D
Verbal Reasoning,What does the word 'omniscient' mean?,All-knowing,All-seeing,All-powerful,All-hearing,A
Verbal Reasoning,Choose the word that is opposite in meaning to 'abundant'.,Sufficient,Scarce,Large,Copious,B
Verbal Reasoning,What does the word 'omniscient' mean?,All-knowing,All-seeing,All-powerful,All-hearing,A
Verbal Reasoning,What does the word 'omniscient' mean?,All-knowing,All-seeing,All-powerful,All-hearing,A
Verbal Reasoning,Identify the synonym of 'happy'.,Sad,Angry,Joyful,Depressed,C
Verbal Reasoning,Choose the word that is opposite in meaning to 'abundant'.,Sufficient,Scarce,Large,Copious,B
Verbal Reasoning,Choose the word that best completes the sentence: 'He has a _______ mind.',brilliant,dull,regular,small,A
Verbal Reasoning,Choose the word that best completes the sentence: 'He has a _______ mind.',brilliant,dull,regular,small,A
Verbal Reasoning,Choose the word that is opposite in meaning to 'abundant'.,Sufficient,Scarce,Large,Copious,B
Verbal Reasoning,Identify the synonym of 'happy'.,Sad,Angry,Joyful,Depressed,C
Verbal Reasoning,What does the word 'omniscient' mean?,All-knowing,All-seeing,All-powerful,All-hearing,A
Verbal Reasoning,Choose the word that best completes the sentence: 'He has a _______ mind.',brilliant,dull,regular,small,A
Verbal Reasoning,Choose the word that is opposite in meaning to 'abundant'.,Sufficient,Scarce,Large,Copious,B
Verbal Reasoning,What does the word 'omniscient' mean?,All-knowing,All-seeing,All-powerful,All-hearing,A
Verbal Reasoning,Choose the word that best completes the sentence: 'He has a _______ mind.',brilliant,dull,regular,small,A
Verbal Reasoning,Choose the word that is opposite in meaning to 'abundant'.,Sufficient,Scarce,Large,Copious,B
Verbal Reasoning,Choose the word that is opposite in meaning to 'abundant'.,Sufficient,Scarce,Large,Copious,B
Verbal Reasoning,Choose the word that best completes the sentence: 'He has a _______ mind.',brilliant,dull,regular,small,A
Verbal Reasoning,Identify the synonym of 'happy'.,Sad,Angry,Joyful,Depressed,C
Verbal Reasoning,Choose the word that best completes the sentence: 'He has a _______ mind.',brilliant,dull,regular,small,A
Verbal Reasoning,What does the word 'omniscient' mean?,All-knowing,All-seeing,All-powerful,All-hearing,A
Verbal Reasoning,Identify the synonym of 'happy'.,Sad,Angry,Joyful,Depressed,C
Verbal Reasoning,What does the word 'omniscient' mean?,All-knowing,All-seeing,All-powerful,All-hearing,A
Verbal Reasoning,Choose the word that best completes the sentence: 'He has a _______ mind.',brilliant,dull,regular,small,A
Verbal Reasoning,Identify the synonym of 'happy'.,Sad,Angry,Joyful,Depressed,C
Verbal Reasoning,Choose the word that is opposite in meaning to 'abundant'.,Sufficient,Scarce,Large,Copious,B
Verbal Reasoning,Which word is the antonym of 'expensive'?,Cheap,Wealthy,Heavy,Affordable,D
General Awareness,What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,C
General Awareness,What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,A
General Awareness,What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,C
General Awareness,What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,A
General Awareness,What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,C
General Awareness,What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,C
General Awareness,What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,C
General Awareness,Who is the current Secretary-General of the United Nations?,Ban Ki-moon,Kofi Annan,António Guterres,U Thant,C
General Awareness,What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,C
General Awareness,What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,C
General Awareness,What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,C
General Awareness,Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,B
General Awareness,Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,B
General Awareness,What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,A
General Awareness,What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,A
General Awareness,What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,C
General Awareness,Who is the current Secretary-General of the United Nations?,Ban Ki-moon,Kofi Annan,António Guterres,U Thant,C
General Awareness,Who is the current Secretary-General of the United Nations?,Ban Ki-moon,Kofi Annan,António Guterres,U Thant,C
General Awareness,Who is the current Secretary-General of the United Nations?,Ban Ki-moon,Kofi Annan,António Guterres,U Thant,C
General Awareness,Who wrote 'Romeo and Juliet'?,Charles Dickens,Jane Austen,J.K. Rowling,William Shakespeare,D
General Awareness,Who wrote 'Romeo and Juliet'?,Charles Dickens,Jane Austen,J.K. Rowling,William Shakespeare,D
General Awareness,What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,A
General Awareness,Who is the current Secretary-General of the United Nations?,Ban Ki-moon,Kofi Annan,António Guterres,U Thant,C
General Awareness,What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,C
General Awareness,Who is the current Secretary-General of the United Nations?,Ban Ki-moon,Kofi Annan,António Guterres,U Thant,C
General Awareness,Who wrote 'Romeo and Juliet'?,Charles Dickens,Jane Austen,J.K. Rowling,William Shakespeare,D
General Awareness,Who wrote 'Romeo and Juliet'?,Charles Dickens,Jane Austen,J.K. Rowling,William Shakespeare,D
General Awareness,Who is the current Secretary-General of the United Nations?,Ban Ki-moon,Kofi Annan,António Guterres,U Thant,C
General Awareness,Who wrote 'Romeo and Juliet'?,Charles Dickens,Jane Austen,J.K. Rowling,William Shakespeare,D
General Awareness,Who wrote 'Romeo and Juliet'?,Charles Dickens,Jane Austen,J.K. Rowling,William Shakespeare,D
General Awareness,Who is the current Secretary-General of the United Nations?,Ban Ki-moon,Kofi Annan,António Guterres,U Thant,C
General Awareness,Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,B
General Awareness,What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,A
General Awareness,Who is the current Secretary-General of the United Nations?,Ban Ki-moon,Kofi Annan,António Guterres,U Thant,C
General Awareness,Who wrote 'Romeo and Juliet'?,Charles Dickens,Jane Austen,J.K. Rowling,William Shakespeare,D
General Awareness,Who wrote 'Romeo and Juliet'?,Charles Dickens,Jane Austen,J.K. Rowling,William Shakespeare,D
General Awareness,Who wrote 'Romeo and Juliet'?,Charles Dickens,Jane Austen,J.K. Rowling,William Shakespeare,D
General Awareness,What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,C
General Awareness,Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,B
General Awareness,What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,A
General Awareness,What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,C
General Awareness,Who wrote 'Romeo and Juliet'?,Charles Dickens,Jane Austen,J.K. Rowling,William Shakespeare,D
General Awareness,Who wrote 'Romeo and Juliet'?,Charles Dickens,Jane Austen,J.K. Rowling,William Shakespeare,D
General Awareness,What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,A
General Awareness,Who wrote 'Romeo and Juliet'?,Charles Dickens,Jane Austen,J.K. Rowling,William Shakespeare,D
General Awareness,What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,A
General Awareness,What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,A
General Awareness,What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,A
General Awareness,What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,C
General Awareness,Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,B
Values & Interpersonal Skills,Which of these is a polite response to a disagreement?,Yell at them,Walk away,Agree to disagree,Ignore,C
Values & Interpersonal Skills,Which is a sign of good teamwork?,Ignoring others,Collaboration,Dominating conversations,Avoiding feedback,B
Values & Interpersonal Skills,Which behavior shows respect in communication?,Active listening,Interrupting,Ignoring,Talking over others,A
Values & Interpersonal Skills,How should you handle criticism?,Listen and improve,Argue back,Ignore it,Retaliate,A
Values & Interpersonal Skills,How should you handle criticism?,Listen and improve,Argue back,Ignore it,Retaliate,A
Values & Interpersonal Skills,What is empathy?,Self-pity,Indifference,Judgment,Understanding others' feelings,D
Values & Interpersonal Skills,Which is a sign of good teamwork?,Ignoring others,Collaboration,Dominating conversations,Avoiding feedback,B
Values & Interpersonal Skills,Which is a sign of good teamwork?,Ignoring others,Collaboration,Dominating conversations,Avoiding feedback,B
Values & Interpersonal Skills,Which of these is a polite response to a disagreement?,Yell at them,Walk away,Agree to disagree,Ignore,C
Values & Interpersonal Skills,Which is a sign of good teamwork?,Ignoring others,Collaboration,Dominating conversations,Avoiding feedback,B
Values & Interpersonal Skills,Which is a sign of good teamwork?,Ignoring others,Collaboration,Dominating conversations,Avoiding feedback,B
Values & Interpersonal Skills,What is empathy?,Self-pity,Indifference,Judgment,Understanding others' feelings,D
Values & Interpersonal Skills,Which of these is a polite response to a disagreement?,Yell at them,Walk away,Agree to disagree,Ignore,C
Values & Interpersonal Skills,Which is a sign of good teamwork?,Ignoring others,Collaboration,Dominating conversations,Avoiding feedback,B
Values & Interpersonal Skills,How should you handle criticism?,Listen and improve,Argue back,Ignore it,Retaliate,A
Values & Interpersonal Skills,Which is a sign of good teamwork?,Ignoring others,Collaboration,Dominating conversations,Avoiding feedback,B
Values & Interpersonal Skills,Which behavior shows respect in communication?,Active listening,Interrupting,Ignoring,Talking over others,A
Values & Interpersonal Skills,Which behavior shows respect in communication?,Active listening,Interrupting,Ignoring,Talking over others,A
Values & Interpersonal Skills,Which behavior shows respect in communication?,Active listening,Interrupting,Ignoring,Talking over others,A
Values & Interpersonal Skills,Which behavior shows respect in communication?,Active listening,Interrupting,Ignoring,Talking over others,A
Values & Interpersonal Skills,What is empathy?,Self-pity,Indifference,Judgment,Understanding others' feelings,D
Values & Interpersonal Skills,Which behavior shows respect in communication?,Active listening,Interrupting,Ignoring,Talking over others,A
Values & Interpersonal Skills,Which of these is a polite response to a disagreement?,Yell at them,Walk away,Agree to disagree,Ignore,C
Values & Interpersonal Skills,How should you handle criticism?,Listen and improve,Argue back,Ignore it,Retaliate,A
Values & Interpersonal Skills,What is empathy?,Self-pity,Indifference,Judgment,Understanding others' feelings,D
Values & Interpersonal Skills,How should you handle criticism?,Listen and improve,Argue back,Ignore it,Retaliate,A
Values & Interpersonal Skills,Which behavior shows respect in communication?,Active listening,Interrupting,Ignoring,Talking over others,A
Values & Interpersonal Skills,How should you handle criticism?,Listen and improve,Argue back,Ignore it,Retaliate,A
Values & Interpersonal Skills,How should you handle criticism?,Listen and improve,Argue back,Ignore it,Retaliate,A
Values & Interpersonal Skills,Which of these is a polite response to a disagreement?,Yell at them,Walk away,Agree to disagree,Ignore,C
Values & Interpersonal Skills,Which of these is a polite response to a disagreement?,Yell at them,Walk away,Agree to disagree,Ignore,C
Values & Interpersonal Skills,Which of these is a polite response to a disagreement?,Yell at them,Walk away,Agree to disagree,Ignore,C
Values & Interpersonal Skills,What is empathy?,Self-pity,Indifference,Judgment,Understanding others' feelings,D
Values & Interpersonal Skills,Which is a sign of good teamwork?,Ignoring others,Collaboration,Dominating conversations,Avoiding feedback,B
Values & Interpersonal Skills,What is empathy?,Self-pity,Indifference,Judgment,Understanding others' feelings,D
Values & Interpersonal Skills,What is empathy?,Self-pity,Indifference,Judgment,Understanding others' feelings,D
Values & Interpersonal Skills,Which of these is a polite response to a disagreement?,Yell at them,Walk away,Agree to disagree,Ignore,C
Values & Interpersonal Skills,Which of these is a polite response to a disagreement?,Yell at them,Walk away,Agree to disagree,Ignore,C
Values & Interpersonal Skills,Which is a sign of good teamwork?,Ignoring others,Collaboration,Dominating conversations,Avoiding feedback,B
Values & Interpersonal Skills,Which is a sign of good teamwork?,Ignoring others,Collaboration,Dominating conversations,Avoiding feedback,B
Values & Interpersonal Skills,Which behavior shows respect in communication?,Active listening,Interrupting,Ignoring,Talking over others,A
Values & Interpersonal Skills,Which of these is a polite response to a disagreement?,Yell at them,Walk away,Agree to disagree,Ignore,C
Values & Interpersonal Skills,What is empathy?,Self-pity,Indifference,Judgment,Understanding others' feelings,D
Values & Interpersonal Skills,Which of these is a polite response to a disagreement?,Yell at them,Walk away,Agree to disagree,Ignore,C
Values & Interpersonal Skills,Which of these is a polite response to a disagreement?,Yell at them,Walk away,Agree to disagree,Ignore,C
Values & Interpersonal Skills,Which of these is a polite response to a disagreement?,Yell at them,Walk away,Agree to disagree,Ignore,C
Values & Interpersonal Skills,Which of these is a polite response to a disagreement?,Yell at them,Walk away,Agree to disagree,Ignore,C
Values & Interpersonal Skills,Which behavior shows respect in communication?,Active listening,Interrupting,Ignoring,Talking over others,A
Values & Interpersonal Skills,How should you handle criticism?,Listen and improve,Argue back,Ignore it,Retaliate,A
Values & Interpersonal Skills,How should you handle criticism?,Listen and improve,Argue back,Ignore it,Retaliate,A
Behavioral & Customer Interaction Quotient,Why is follow-up important after a sale?,To sell more products,To advertise,To finish quickly,To ensure satisfaction,D
Behavioral & Customer Interaction Quotient,How should you greet a customer?,Avoid eye contact,Smile and introduce yourself,Ignore them,Rush through,B
Behavioral & Customer Interaction Quotient,Which of these builds customer trust?,Ignoring complaints,Rushing through service,Being transparent,Being ambiguous,C
Behavioral & Customer Interaction Quotient,Why is follow-up important after a sale?,To sell more products,To advertise,To finish quickly,To ensure satisfaction,D
Behavioral & Customer Interaction Quotient,How should you greet a customer?,Avoid eye contact,Smile and introduce yourself,Ignore them,Rush through,B
Behavioral & Customer Interaction Quotient,How can you improve customer loyalty?,Provide great service,Raise prices,Offer limited hours,Avoid communication,A
Behavioral & Customer Interaction Quotient,What is the best way to handle an angry customer?,Stay calm and listen,Get angry in return,Ignore them,Interrupt frequently,A
Behavioral & Customer Interaction Quotient,How should you greet a customer?,Avoid eye contact,Smile and introduce yourself,Ignore them,Rush through,B
Behavioral & Customer Interaction Quotient,How should you greet a customer?,Avoid eye contact,Smile and introduce yourself,Ignore them,Rush through,B
Behavioral & Customer Interaction Quotient,Why is follow-up important after a sale?,To sell more products,To advertise,To finish quickly,To ensure satisfaction,D
Behavioral & Customer Interaction Quotient,How can you improve customer loyalty?,Provide great service,Raise prices,Offer limited hours,Avoid communication,A
Behavioral & Customer Interaction Quotient,Why is follow-up important after a sale?,To sell more products,To advertise,To finish quickly,To ensure satisfaction,D
Behavioral & Customer Interaction Quotient,How can you improve customer loyalty?,Provide great service,Raise prices,Offer limited hours,Avoid communication,A
Behavioral & Customer Interaction Quotient,Which of these builds customer trust?,Ignoring complaints,Rushing through service,Being transparent,Being ambiguous,C
Behavioral & Customer Interaction Quotient,What is the best way to handle an angry customer?,Stay calm and listen,Get angry in return,Ignore them,Interrupt frequently,A
Behavioral & Customer Interaction Quotient,Which of these builds customer trust?,Ignoring complaints,Rushing through service,Being transparent,Being ambiguous,C
Behavioral & Customer Interaction Quotient,Which of these builds customer trust?,Ignoring complaints,Rushing through service,Being transparent,Being ambiguous,C
Behavioral & Customer Interaction Quotient,How should you greet a customer?,Avoid eye contact,Smile and introduce yourself,Ignore them,Rush through,B
Behavioral & Customer Interaction Quotient,How should you greet a customer?,Avoid eye contact,Smile and introduce yourself,Ignore them,Rush through,B
Behavioral & Customer Interaction Quotient,What is the best way to handle an angry customer?,Stay calm and listen,Get angry in return,Ignore them,Interrupt frequently,A
Behavioral & Customer Interaction Quotient,Why is follow-up important after a sale?,To sell more products,To advertise,To finish quickly,To ensure satisfaction,D
Behavioral & Customer Interaction Quotient,How can you improve customer loyalty?,Provide great service,Raise prices,Offer limited hours,Avoid communication,A
Behavioral & Customer Interaction Quotient,How can you improve customer loyalty?,Provide great service,Raise prices,Offer limited hours,Avoid communication,A
Behavioral & Customer Interaction Quotient,Why is follow-up important after a sale?,To sell more products,To advertise,To finish quickly,To ensure satisfaction,D
Behavioral & Customer Interaction Quotient,How should you greet a customer?,Avoid eye contact,Smile and introduce yourself,Ignore them,Rush through,B
Behavioral & Customer Interaction Quotient,Which of these builds customer trust?,Ignoring complaints,Rushing through service,Being transparent,Being ambiguous,C
Behavioral & Customer Interaction Quotient,How can you improve customer loyalty?,Provide great service,Raise prices,Offer limited hours,Avoid communication,A
Behavioral & Customer Interaction Quotient,What is the best way to handle an angry customer?,Stay calm and listen,Get angry in return,Ignore them,Interrupt frequently,A
Behavioral & Customer Interaction Quotient,What is the best way to handle an angry customer?,Stay calm and listen,Get angry in return,Ignore them,Interrupt frequently,A
Behavioral & Customer Interaction Quotient,Why is follow-up important after a sale?,To sell more products,To advertise,To finish quickly,To ensure satisfaction,D
Behavioral & Customer Interaction Quotient,Which of these builds customer trust?,Ignoring complaints,Rushing through service,Being transparent,Being ambiguous,C
Behavioral & Customer Interaction Quotient,What is the best way to handle an angry customer?,Stay calm and listen,Get angry in return,Ignore them,Interrupt frequently,A
Behavioral & Customer Interaction Quotient,Which of these builds customer trust?,Ignoring complaints,Rushing through service,Being transparent,Being ambiguous,C
Behavioral & Customer Interaction Quotient,What is the best way to handle an angry customer?,Stay calm and listen,Get angry in return,Ignore them,Interrupt frequently,A
Behavioral & Customer Interaction Quotient,How should you greet a customer?,Avoid eye contact,Smile and introduce yourself,Ignore them,Rush through,B
Behavioral & Customer Interaction Quotient,Which of these builds customer trust?,Ignoring complaints,Rushing through service,Being transparent,Being ambiguous,C
Behavioral & Customer Interaction Quotient,How can you improve customer loyalty?,Provide great service,Raise prices,Offer limited hours,Avoid communication,A
Behavioral & Customer Interaction Quotient,Why is follow-up important after a sale?,To sell more products,To advertise,To finish quickly,To ensure satisfaction,D
Behavioral & Customer Interaction Quotient,How should you greet a customer?,Avoid eye contact,Smile and introduce yourself,Ignore them,Rush through,B
Behavioral & Customer Interaction Quotient,What is the best way to handle an angry customer?,Stay calm and listen,Get angry in return,Ignore them,Interrupt frequently,A
Behavioral & Customer Interaction Quotient,How can you improve customer loyalty?,Provide great service,Raise prices,Offer limited hours,Avoid communication,A
Behavioral & Customer Interaction Quotient,Why is follow-up important after a sale?,To sell more products,To advertise,To finish quickly,To ensure satisfaction,D
Behavioral & Customer Interaction Quotient,How should you greet a customer?,Avoid eye contact,Smile and introduce yourself,Ignore them,Rush through,B
Behavioral & Customer Interaction Quotient,Why is follow-up important after a sale?,To sell more products,To advertise,To finish quickly,To ensure satisfaction,D
Behavioral & Customer Interaction Quotient,What is the best way to handle an angry customer?,Stay calm and listen,Get angry in return,Ignore them,Interrupt frequently,A
Behavioral & Customer Interaction Quotient,What is the best way to handle an angry customer?,Stay calm and listen,Get angry in return,Ignore them,Interrupt frequently,A
Behavioral & Customer Interaction Quotient,How can you improve customer loyalty?,Provide great service,Raise prices,Offer limited hours,Avoid communication,A
Behavioral & Customer Interaction Quotient,How should you greet a customer?,Avoid eye contact,Smile and introduce yourself,Ignore them,Rush through,B
Behavioral & Customer Interaction Quotient,How can you improve customer loyalty?,Provide great service,Raise prices,Offer limited hours,Avoid communication,A
Behavioral & Customer Interaction Quotient,How should you greet a customer?,Avoid eye contact,Smile and introduce yourself,Ignore them,Rush through,B
